,field,files,total_size
203,field0447,191.0,720.1194715499878
204,field0448,191.0,830.136287689209
205,field0449,190.0,861.8354730606079
206,field0450,190.0,859.6820774078369
207,field0451,145.0,838.935848236084
208,field0452,153.0,817.1853981018066
209,field0453,128.0,547.2183218002319
210,field0454,128.0,575.5424470901489
211,field0455,128.0,594.1390943527222
212,field0456,128.0,791.7404155731201
213,field0457,128.0,1281.0707054138184
214,field0458,128.0,1895.0462341308594
215,field0459,128.0,2169.036865234375
216,field0460,128.0,3802.2994995117188
217,field0461,128.0,4140.8538818359375
218,field0462,128.0,5057.334899902344
219,field0463,128.0,2853.870390892029
220,field0464,128.0,1012.3252840042114
221,field0465,128.0,744.5335350036621
222,field0466,128.0,832.08083152771
223,field0467,128.0,898.2658386230469
224,field0468,128.0,511.4555358886719
225,field0469,128.0,414.1807460784912
226,field0470,128.0,428.00903034210205
227,field0471,128.0,413.5131778717041
228,field0472,128.0,432.49129581451416
229,field0473,128.0,660.8962879180908
230,field0474,163.0,533.3690643310547
231,field0475,188.0,582.5843811035156
232,field0476,170.0,628.1595087051392
233,field0477,179.0,776.6723623275757
234,field0478,178.0,771.1410493850708
235,field0479,178.0,936.6989059448242
236,field0480,185.0,1097.2976684570312
237,field0481,191.0,1109.9815368652344
238,field0482,191.0,1521.6827363967896
239,field0483,128.0,2273.082733154297
240,field0484,128.0,3686.9049072265625
241,field0485,128.0,11597.633361816406
242,field0486,128.0,19286.155700683594
243,field0487,128.0,19095.134734153748
244,field0488,128.0,28843.49822998047
245,field0489,128.0,22955.894470214844
246,field0490,128.0,10765.07568359375
247,field0491,190.0,4815.578460693359
248,field0492,190.0,1940.1550254821777
249,field0493,190.0,1483.7264938354492
250,field0494,190.0,1215.1718139648438
251,field0495,190.0,876.9035320281982
252,field0496,190.0,1095.9625244140625
253,field0497,190.0,1049.995421409607
254,field0498,186.0,956.821439743042
255,field0499,191.0,1167.1066284179688
256,field0500,190.0,1045.1316833496094
257,field0501,178.0,925.6801605224609
258,field0502,186.0,911.4379863739014
259,field0503,183.0,986.943244934082
260,field0504,172.0,850.5210857391357
261,field0505,128.0,628.7574691772461
262,field0506,128.0,570.9648084640503
263,field0507,128.0,671.0052423477173
264,field0508,128.0,777.3399333953857
265,field0509,128.0,1157.569884300232
266,field0510,128.0,1608.3717336654663
267,field0511,128.0,2635.19287109375
268,field0512,188.0,7001.41716003418
269,field0513,128.0,8216.85791015625
270,field0514,177.0,3747.492790222168
271,field0515,128.0,1695.8236684799194
272,field0516,128.0,1607.4180603027344
273,field0517,192.0,793.1041631698608
274,field0518,128.0,772.7622976303101
275,field0519,192.0,972.5217819213867
276,field0520,191.0,476.03416442871094
277,field0521,174.0,458.71543884277344
278,field0522,192.0,478.96671295166016
279,field0523,192.0,490.2153015136719
280,field0524,128.0,524.9977111816406
281,field0525,192.0,822.7615327835083
282,field0526,192.0,633.4095001220703
283,field0527,192.0,710.1058931350708
284,field0528,192.0,820.159912109375
285,field0529,192.0,755.5007839202881
286,field0530,192.0,865.9362716674805
287,field0531,192.0,963.1156911849976
288,field0532,192.0,1079.5593242645264
289,field0533,192.0,1314.7354125976562
290,field0534,192.0,1553.6308164596558
291,field0535,191.0,3368.1869497299194
292,field0536,128.0,6160.736083984375
293,field0537,128.0,13739.585876464844
294,field0538,128.0,25496.482849121094
295,field0539,128.0,39471.62628173828
296,field0540,128.0,41776.65710449219
297,field0541,128.0,26110.64910888672
298,field0542,128.0,10252.952575683594
299,field0543,190.0,5308.341979980469
300,field0544,191.0,2353.2867431640625
301,field0545,190.0,1726.7227115631104
302,field0546,190.0,1363.563536643982
303,field0547,191.0,1160.9077453613281
304,field0548,191.0,1127.2430419921875
305,field0549,191.0,982.6660118103027
306,field0550,191.0,1113.7008666992188
307,field0551,190.0,1367.1874980926514
308,field0552,191.0,1099.7772216796875
309,field0553,174.0,1263.9474849700928
310,field0554,170.0,1170.2518463134766
311,field0555,128.0,987.24365234375
312,field0556,128.0,778.388973236084
313,field0557,128.0,863.0752544403076
314,field0558,128.0,909.2330913543701
315,field0559,128.0,1165.199278831482
316,field0560,128.0,1738.3575439453125
317,field0561,128.0,2694.1299438476562
318,field0562,128.0,3967.28515625
